sample,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26
Aidonia_LBA.rel:AID002,0.126344,0.158423,-0.001131,-0.05814,0.026159,-0.025937,-0.00188,-0.001154,0.002454,0.036083,0.005196,0.017085,-0.012636,-0.004679,-0.024565,-0.006364,0.008345,-0.001774,0.002514,-0.005002,-0.006114,-0.004575,0.000986,-0.001566,-0.00455
Aidonia_LBA.rel:AID008,0.127482,0.162485,-0.003771,-0.060724,0.026774,-0.021753,-0.001645,0.000231,0.0045,0.045195,0.007307,0.012289,-0.013677,0.004542,-0.019137,-0.016839,-0.01004,0.00114,0.016844,-0.016508,-0.009733,-0.005564,-0.001725,-0.00482,-0.001078
Aidonia_LBA:AID001,0.127482,0.162485,-0.00528,-0.055233,0.032929,-0.023706,0.00094,0.001846,0.007158,0.04155,0.00682,0.009741,-0.018434,-0.007844,-0.010858,-0.023999,-0.012126,0.001267,0.011439,-0.01038,-0.010731,0.006306,-0.003451,-0.004097,-0.004311
Aidonia_LBA:AID007,0.12862,0.165531,0.000377,-0.055556,0.018465,-0.018686,-0.00047,-0.003923,0.002863,0.036083,0.009743,0.005695,-0.01115,0.006193,-0.006922,-0.005038,0.003781,0.00038,0.014707,-0.019259,-0.012603,0.004204,-0.00419,-0.000843,0.002634
Aidonia_LBA:AID017,0.120652,0.129988,-0.009051,-0.050065,0.030775,-0.015339,-0.003055,-0.001615,0.004295,0.043919,0.013153,0.012589,-0.016055,0.000413,-0.006243,-0.000265,0.012256,-0.0019,0.004651,-0.013757,-0.01123,0.012736,0.008258,0.019882,-0.0097
Albania_EBA_o1:I14689,0.122929,0.118817,0.033564,0.045543,-0.008309,0.01255,0.008225,-4.619999999999999e-4,-0.026384,-0.012392,-0.002273,7.49e-4,-0.0068379999999999995,0.002477,0.014251,-0.009679,-0.014212,0.003927,0.010307,-0.009880000000000003,-0.010731,-0.003091,0.014665999999999998,0.010845,-0.011496
Albania_MBA:I8471,0.12520499999999998,0.14319,0.019233,0.003876,0.032621,-0.019522,0.006580000000000002,-0.011999,0.008794999999999999,0.033531,0.0014609999999999998,0.005095,-0.006541,-0.021469,-0.010043,0.0047729999999999995,0.027250000000000007,-0.009755,0.001383,0.008754,-0.003993,0.006677,0.009737,0.012050000000000003,0.007424
Aposelemis_LBA:APO022,0.117238,0.166547,-0.00792,-0.087856,0.017542,-0.041555,0.001645,0.003231,0.008795,0.040092,0.001461,0.02293,-0.022448,-0.007707,-0.02823,-0.011403,-0.002347,0.003927,0.017095,-0.026763,0.001123,0.001855,-0.000616,-0.006989,-0.011975
Aposelemis_LBA:APO023,0.104717,0.157407,-0.021119,-0.092055,0.024312,-0.038208,-0.00376,-0.000462,0.010226,0.053213,0.001949,0.02263,-0.021853,0.000688,-0.035559,-0.016706,0.013038,-0.005574,0.00729,-0.013131,-0.012104,-0.001113,-0.016269,0.001084,0.008622
Aposelemis_LBA:APO025,0.129758,0.168578,-0.013576,-0.090763,0.032314,-0.024821,-0.010105,-0.003,0.011862,0.059409,0.001786,0.012589,-0.027056,-0.007432,-0.024701,-0.012861,0.025164,-0.008995,0.00905,-0.017383,-0.029822,-0.002597,0.005793,0.003976,-0.001078
Armenia_Achaemenid_Hellenistic:I16119,0.097888,0.122879,-0.05242,-0.046189,-0.039084,-0.013108,0.00893,-0.008307,-0.032723999999999996,-0.015672,1.6199999999999998e-4,0.007194,-0.0062439999999999996,0.006055,0.0033929999999999993,-0.004508,-0.007170999999999999,-0.002914,0,-0.010005,0.001248,0.005070000000000002,-1.2299999999999998e-4,-0.0039759999999999995,-0.008981
Armenia_Beniamin_Hellenistic.SG:R11546,0.103579,0.136081,-0.059208,-0.051680000000000004,-0.032006,-0.009482,0.006110000000000002,-0.004384,-0.026588,-0.013303,0,4.5e-4,0.004906,0.002064,-0.013843,0.013392,0.015255,-0.004941,-8.8e-4,0.001,-0.003119,-7.419999999999999e-4,-2.4599999999999996e-4,-0.006507,-0.007783999999999999
Armenia_EBA:I1633,0.104717,0.12592599999999998,-0.069767,-0.039729,-0.044316,0.003068,0.016451,-0.012230000000000001,-0.062789,-0.025512999999999997,0.004547,0.005844999999999999,-0.016353,0.001789,0.011265,-2.65e-4,0.009257,-0.001647,0.0032679999999999996,-0.0032519999999999997,0.007736,-0.004822,0.003328,-0.0036149999999999997,-0.0032329999999999998
Armenia_EBA:I1635,0.106994,0.132019,-0.061094,-0.049419,-0.041238,-0.010877,0.0075200000000000015,-0.006692,-0.058903,-0.020228,0.005684,0.008093,-0.013528,0.001651,0.005565,-0.001856,0.009909,1.27e-4,-0.007038999999999999,0.001,0.01148,-0.007914,0.002711,-0.0039759999999999995,-8.38e-4
Armenia_EBA:I1658,0.108132,0.129988,-0.066373,-0.051034,-0.054164,-0.003068,0.007755,-0.003692,-0.049904,-0.010023,0.0014609999999999998,0.003597,-0.016947,-0.003716,-0.00285,0.001326,0.021253,-0.003041,0,0.0025009999999999998,0.002496,0.0018549999999999999,0.008997,-0.003735,-0.0046700000000000005
Armenia_EBA_KuraAraxes:ARM001,0.101303,0.136081,-0.074293,-0.037791,-0.048624,-0.003068,0.012691,-0.012692,-0.067288,-0.021868,-6.500000000000001e-4,0.012739,-0.018731,0.007293999999999999,0.005157,-0.014187,-0.013430000000000001,-0.010388,0.002388,-0.002126,0.003369,0,-0.011462,-0.008676,3.59e-4
Armenia_EBA_KuraAraxes:ARM002,0.097888,0.13405,-0.063733,-0.049096,-0.048009,-0.018686,0.003055,-0.014538,-0.061356999999999995,-0.014943,0.012666,0.004796,-0.017393,0.00523,0.00285,-0.0076900000000000015,0.013560000000000001,0.0011400000000000002,-0.0045249999999999995,0.002126,0.005988999999999999,0.004203999999999999,0.008381,-0.008917,-0.005268999999999999
Armenia_EBA_KuraAraxes:I13599,0.102441,0.132019,-0.07957199999999999,-0.043927999999999995,-0.048009,-0.009203,0.012456,-0.004615,-0.058085,-0.019681,0.003248,0.012289,-0.012785,0.003578,-8.139999999999998e-4,-0.009281,0.009779,-0.0038009999999999997,0.0040219999999999995,-1.25e-4,-0.003743,0.0035859999999999998,-9.86e-4,-0.004940000000000002,-9.58e-4
Armenia_EBA_KuraAraxes:I14339,0.105855,0.128972,-0.067505,-0.032623,-0.051702,-0.005299,0.011045,-9.23e-4,-0.060539,-0.022051,0.003248,0.007194,-0.021852999999999997,0.006331,0.006515,-0.0118,0.0044329999999999994,0.001774,-0.004651,0.009004,0.009858,-0.002226,-0.006039,-0.009760000000000001,-0.003712
Armenia_EBA_KuraAraxes:I15132,0.099026,0.13100299999999998,-0.072784,-0.039083,-0.055703,-0.006692999999999999,0.006815,-0.011076,-0.062789,-0.018953,9.739999999999999e-4,0.009142,-0.013379,0.010597,0.007193,0.0014579999999999999,0.01004,-0.004561,-0.008421999999999999,-1.25e-4,0.012228,-0.0019779999999999997,-0.002095,-1.2000000000000002e-4,-7.18e-4
Armenia_EBA_KuraAraxes_dup.ARM002:ARM002,0.097888,0.13405,-0.063733,-0.049096,-0.048009,-0.018686,0.003055,-0.014538,-0.061356999999999995,-0.014943,0.012666,0.004796,-0.017393,0.00523,0.00285,-0.0076900000000000015,0.013560000000000001,0.0011400000000000002,-0.0045249999999999995,0.002126,0.005988999999999999,0.004203999999999999,0.008381,-0.008917,-0.005268999999999999
Armenia_EBA_KuraAraxes_father.or.son.I14343:I14340,0.097888,0.12491000000000001,-0.070899,-0.041667,-0.044008,-0.003626,0.006345,-0.001385,-0.056858,-0.025878,3.25e-4,0.010491,-0.01665,0.003028,0.006785999999999999,-0.015115,0.015776,0.004307,-0.0016339999999999998,0.001251,0.012977,-0.009769,0.005053,-0.005903999999999999,0.005627999999999999
Armenia_EBA_mother.or.daughter.I1658:I1657,0.105855,0.137096,-0.062225,-0.046189,-0.036314,-0.005856999999999999,0.016451,-0.0023079999999999997,-0.044995,-0.00893,-0.003248,0.009591,-0.020515,-0.00234,-0.002986,0.004374999999999999,0.019036,0.001647,-1.26e-4,0.009630000000000001,0.0034939999999999997,0.001113,0.006286,-0.012411,-0.008143
Armenia_LBA:I15732,0.100164,0.12491000000000001,-0.042615,-0.012597,-0.0397,0.006136,0.0094,-0.006692,-0.057470999999999994,-0.020957,0.003248,0.0059949999999999995,-0.012636,-0.00234,0.001086,0.005436,0.00691,0.004434,-0.0040219999999999995,0.001751,0.003619,0.005193,0.002588,-0.003735,0.005748
Armenia_LBA:I15749,0.112685,0.123895,-0.038466,-0.005814,-0.037238,0.008367,0.00564,-0.009923,-0.055221,-0.022414999999999997,6.500000000000001e-4,0.0059949999999999995,-0.011893,-0.0055049999999999995,0.002172,-0.0017239999999999998,0.013038,0.0011400000000000002,-0.002137,0.004127,0.006987999999999999,0.003957,0.006901999999999999,-0.006627,4.79e-4
Armenia_LBA:I18479,0.100164,0.119832,-0.042238,-0.006137,-0.037853,0.00753,0.004465,-0.005077,-0.04704000000000001,-0.027881999999999997,-0.004872,0.01169,-0.011447,-0.001789,0.017508,-0.009414,-0.002999,-0.001267,0.001006,0.003627,-0.0011229999999999999,0.009521,0.014790000000000001,0.0026509999999999997,-0.0029939999999999997
Armenia_LBA:I19331,0.108132,0.11577000000000001,-0.042991999999999995,-0.005814,-0.041238,0.008924999999999999,0.0075200000000000015,-0.001385,-0.041723,-0.024966,0.0014609999999999998,0.003147,-0.006392,-0.017478,0.011536,0.016176,0.012386,-0.006208,-0.0032679999999999996,0.002126,0.010856,-0.0019779999999999997,-0.001356,0.001084,0.001557
Armenia_LBA:I19332,0.10927,0.128972,-0.035449,-0.016796,-0.036007,-0.009482,0.00282,-0.011538,-0.034769,-0.023508,0.004384,0.003897,-0.001933,-0.003853,0.012215,0.002784,0.0010429999999999999,0.005574,-0.001508,0.002876,0.006862999999999999,-0.0056879999999999995,-0.001602,-0.00253,-0.002275
Armenia_LBA:I19333,0.105855,0.126941,-0.040352,-0.024548,-0.031083,-0.008088,0.00188,-0.003692,-0.04745000000000001,-0.020228,0.003735,0.003747,-0.011893,-0.004129,0.002443,0.002387,0.007040999999999999,0.003041,-7.54e-4,0.001501,0.0011229999999999999,-0.004327999999999999,-0.0014789999999999998,-0.005784,0.001916
Armenia_LBA:I19334,0.110408,0.13100299999999998,-0.041483,-0.025840000000000002,-0.029852,-0.00251,0.005405,-0.003,-0.034155,-0.026971,0.006496,0.0029969999999999997,-0.012487,0.002202,0.011265,-0.017766999999999998,-0.011995,-0.002154,0.001006,0.0013759999999999998,-0.002496,0.005193,0.0045600000000000016,-7.23e-4,-0.00491
Armenia_LBA:I19335,0.103579,0.127957,-0.029415,-0.012597,-0.039084,0.005856999999999999,7.05e-4,-0.010384000000000001,-0.046631,-0.027700000000000002,-9.739999999999999e-4,0.003297,-0.010109,0.003441,0.008414999999999999,-0.004242999999999999,-0.012126,0.006081,1.26e-4,-0.001751,0.006489,-0.0018549999999999999,0.001356,-0.001928,0.006107
Armenia_LBA:I19336,0.106994,0.12491000000000001,-0.039598,-0.012274,-0.036007,0.001673,0.003994999999999999,-0.001385,-0.053994,-0.021139,-0.003735,0.006144999999999999,-0.005648999999999999,-0.007293999999999999,0.005429,0.002121,0.0032600000000000003,0.0057009999999999995,-0.0030169999999999997,-0.005503,0.006862999999999999,0.0040809999999999996,0.002342,-0.0034939999999999997,0.001557
Armenia_LBA:I19337,0.088782,0.133034,-0.047894,-0.007105999999999999,-0.033545,-0.002789,0.027026,0,-0.044586,-0.008747,0.013803,0.015586,-0.010258,-0.007982,0.010858,0.003845,0.007040999999999999,-0.004307,-0.011313,1.25e-4,0.003993,-0.0018549999999999999,-0.005792999999999999,0.009037,-0.005627999999999999
Armenia_LBA:I19339,0.104717,0.12491000000000001,-0.040352,-0.015827,-0.026159,-0.0047409999999999996,-7.05e-4,-0.003692,-0.043358999999999995,-0.018406,0.003573,0.007044,-0.013974,-0.009083,-6.789999999999999e-4,-0.002254,0.0041719999999999995,0.001014,0.006535999999999999,-0.0013759999999999998,0.0072369999999999995,0.007418999999999999,0.0067789999999999994,-0.001928,0.0035919999999999997
Armenia_LBA:I19341,0.101303,0.119832,-0.039975,-0.013243,-0.037238,-8.37e-4,-0.002585,-0.012692,-0.034565,-0.016766,0.0068200000000000005,7.49e-4,-0.008176,-0.001927,0.006921999999999999,-0.007823,-0.008213999999999999,0.004941,-0.004274,0.009880000000000003,4.99e-4,0.008036999999999999,0.008627,-0.003856,0.0033529999999999996
Armenia_LBA:I19342,0.10927,0.12491000000000001,-0.030170000000000002,-0.018411,-0.033852,-0.0013939999999999998,0.005405,-0.004846,-0.043768,-0.022233,0.005359,0.007044,-0.009663,-0.003028,0.010722,-7.959999999999998e-4,-6.52e-4,-0.006713999999999999,0.005154,0.0050019999999999995,0.0017469999999999999,-9.89e-4,0.006286,0.002048,2.3899999999999998e-4
Armenia_LBA:I19343,0.091058,0.110693,-0.056945,-0.013243,-0.052316999999999995,-8.37e-4,0.0094,-0.002077,-0.044995,-0.023144,0.00406,-0.001798,0.003865,-0.006744,0.008279,0.009679,0.006258,-0.0038009999999999997,2.51e-4,0.002126,-6.24e-4,-0.0021019999999999997,-0.007148,-0.005422,-8.38e-4
Armenia_LBA:I19344,0.113823,0.13100299999999998,-0.038466,-0.01615,-0.037853,-0.002231,0.014806,-0.003,-0.051948999999999995,-0.030980000000000008,0.0068200000000000005,-0.003297,-0.014123,-0.006744,0.012215,0.002121,0.013560000000000001,3.8e-4,-0.004148,0.01013,0.003619,0.005070000000000002,0.005792999999999999,2.4099999999999998e-4,-0.006465999999999999
Armenia_LBA:I19345,0.113823,0.118817,-0.044877,-0.012597,-0.037853,-0.003626,0.013396,-0.004384,-0.044382,-0.025695,0.006983,-0.001049,-0.015907,0.001101,0.013029,0.0010609999999999999,0.005346,0.004814,-0.0045249999999999995,0.004876999999999999,0.007612,-0.004822,0.006532,-0.003012,2.3899999999999998e-4
Armenia_LBA:I19346,0.10927,0.136081,-0.052043,-0.033269,-0.040007,-0.007809,0.00799,-0.0062309999999999996,-0.046427,-0.020046,-0.0014609999999999998,0.009142,-0.019177,-0.004954,0.002307,-0.00411,0.008213999999999999,0.0011400000000000002,0.005279,-0.003377,0.004866,-2.47e-4,0.002588,0.001084,9.58e-4
Armenia_LBA:I19347,0.106994,0.127957,-0.039975,-0.023902,-0.034776,-5.58e-4,0.003055,-0.007614999999999999,-0.046836,-0.019864,0.006333,0.003597,-0.0074329999999999995,-0.0027519999999999997,-8.139999999999998e-4,-0.002784,0.001173,-0.001014,0.00352,-5e-4,0.010357,0.006430000000000002,-0.0038209999999999997,-0.001205,-0.002754
Armenia_LBA:I19348,0.104717,0.122879,-0.039598,-0.013566,-0.037238,0.0047409999999999996,0.003994999999999999,-0.007384,-0.046836,-0.026424,-4.8699999999999997e-4,0.006444,-0.008771,-0.015001,0.008414999999999999,0.014983,0.0066500000000000005,-0.006461,-0.006535999999999999,0.005127,7.49e-4,0.00272,0.006532,0.008676,0.00479
Armenia_LBA:I19349,0.103579,0.119832,-0.036958,-0.014858,-0.036622,0.01004,0.011516,0.002077,-0.043155,-0.020957,-0.009906,0.004946,-0.010555,-0.003578,0.0095,-0.005967,-0.00691,-0.004561,5.03e-4,-0.002126,0.005614999999999999,0.0058119999999999995,0.001232,-0.002169,-0.001676
Armenia_LBA:I19350,0.100164,0.123895,-0.052043,-0.024870999999999997,-0.029852,-0.007251,-0.00282,-0.005769,-0.032928,-0.017495,-0.002761,-0.001199,-0.008324999999999999,0.002202,-8.139999999999998e-4,0.0010609999999999999,-0.004042,0.0022800000000000003,0.002891,0.002251,0.008235,0.010016,0,-0.001566,-0.002754
Armenia_LBA:I19351,0.103579,0.135065,-0.042238,-0.031654,-0.026466,0.001952,0.00987,-0.002538,-0.028838,-0.016766,0.003573,0.005395,5.949999999999999e-4,-0.003578,0.007057,-0.002519,0.002608,-0.001774,-0.005656,0.0018759999999999998,0.005366,8.659999999999999e-4,-0.001602,1.2000000000000002e-4,-0.002155
Armenia_LBA:I19352,0.104717,0.118817,-0.051666,-0.023902,-0.0397,-0.002789,0.004465,-0.010846,-0.054608,-0.020957,0.004872,0.005395,-0.012785,-0.006055,0.001357,-0.001591,0.00339,-0.004307,-0.001383,-0.008379,0.007612,0.002226,-0.005792999999999999,-6.02e-4,0.001557
Armenia_LBA:I20436,0.108132,0.12592599999999998,-0.028661,-0.010659,-0.039084,-0.006136,0.006580000000000002,-0.004615,-0.041109,-0.023508,-1.6199999999999998e-4,-0.002098,-0.010406,0.003165,0.002986,-0.00411,-0.020992,-3.8e-4,0.010684,-0.0016259999999999998,0.015098,0.005317,-4.93e-4,-0.001084,-0.009340000000000001
Armenia_LBA_EIA_brother.I22904:I16376,0.111547,0.128972,-0.045632,-0.025194,-0.042469,-0.006136,0.006110000000000002,-0.005769,-0.048677,-0.028793,0.0014609999999999998,0.004496,-0.01115,-8.259999999999999e-4,0.010993,0.007292,0.01682,-0.006713999999999999,0.007038999999999999,0.006378,-0.0017469999999999999,-0.001113,0.007764999999999999,-6.02e-4,0.003473
Armenia_LBA_EIA_mother.I18276:I18483,0.112685,0.127957,-0.032809,-0.01615,-0.033236999999999996,0.003068,0.0047,-0.003,-0.041314,-0.020593,0.001299,-0.001049,-5.949999999999999e-4,0.006055,0.010993,0.005569,0.0023469999999999997,0.0020269999999999997,-0.0025139999999999997,0.004377,0.0017469999999999999,0.004203999999999999,-0.005546,0.005301999999999999,0.001557
Armenia_LBA_EIA_o:I18164,0.10927,0.139128,-0.058454,-0.052003,-0.037544999999999995,-0.006692999999999999,0.011045,-0.004615,-0.059312,-0.010023,0.005033999999999999,0.004946,-0.018434,-0.001101,0.0044789999999999995,-0.010475,-0.006389,-0.002534,-0.0055309999999999995,0.012006,0.006114,0.003462,-8.629999999999998e-4,-0.006385999999999999,-0.001197
Armenia_LBA_EIA_son.I18166:I15731,0.111547,0.123895,-0.029038,-0.021641,-0.020311,-0.003068,0.006345,-0.006,-0.058903,-0.018041,0.004547,0.004646,-0.00892,-0.00523,0.0031219999999999998,0.010740000000000001,0.019818,-0.003421,-0.001885,0.004127,-0.006987999999999999,-0.001237,-0.00493,-0.001325,-0.00455
