sample,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26
Albania_BA_IA:I14688,0.119514,0.160454,0.022250000000000002,-0.028101,0.024312,-0.017012,0.00141,-0.001385,-0.001841,0.024237,0.001137,0.008243,-0.019326,-0.003028,-0.007193,-0.016176,-0.008735999999999999,0.0036739999999999997,0.003645,-0.004502,-0.013726,0.009645,-0.001849,0.011809,-0.011855
Albania_BA_IA:I14690,0.12862,0.146236,0.036958,-0.010982,0.032621,-0.006136,4.7e-4,0.001846,0.002659,0.018588,0.006170999999999999,0.003597,-0.017691,-0.00578,-0.004343,5.300000000000001e-4,0.007170999999999999,5.07e-4,0.0045249999999999995,-2.5e-4,-0.012228,2.47e-4,0.003204,-0.002169,-0.002874
Albania_BA_IA:I14692,0.12634399999999998,0.15436000000000002,0.024890000000000002,-0.012597,0.022158,-0.001673,-0.007285,0.002077,0.003681,0.028247,0.008282,0.01094,-0.019921,-0.001789,-0.010993,-0.007558,0.008084,-0.0011400000000000002,0.008799,-0.0057529999999999994,-0.010731,-0.001607,0.001725,0.012050000000000003,0.002155
Albania_BA_IA:I16251,0.124067,0.141159,0.016970000000000002,-0.017119,0.025851,-0.005856999999999999,0.00235,0.007614999999999999,0.003068,0.023508,0.002436,0.003897,-0.01888,-0.017891,-0.011808,-0.0035800000000000003,0.008995999999999999,-0.004561,0.007793,-0.010005,-0.002995,0.008779,-0.0045600000000000016,-0.002892,-0.008263
Albania_BA_IA:I16254,0.117238,0.159438,0.036204,-0.009367,0.030467,-0.013108,0.00799,-0.014076,-0.009204,0.033895999999999996,-0.002923,0.002248,-0.018731,-0.006744,-0.013436,-0.005038,0.019297,-3.8e-4,-0.010936,-0.014257,-0.00574,-0.002473,-0.011955,0.010845,-0.008502
Albania_IA:I16253,0.132035,0.156392,0.034695,-0.011628,0.035082999999999996,-0.001952,0.0032900000000000004,6.92e-4,0.002659,0.031345,0.008607,0.016784999999999998,-0.023934,-0.004404,-0.013572,6.63e-4,0.011865,0.006713999999999999,0.011313,-0.010005,-0.007736,-3.7099999999999996e-4,-0.002588,0.007832,-0.007783999999999999
Argentina_LagunaToro_2400BP:I12376,0.054635,-0.322938,0.12520399999999998,0.08559499999999999,-0.110482,-0.024542,-0.29517299999999996,-0.344755,-0.0051129999999999995,-0.019135,-0.010230000000000001,-0.006144999999999999,0.012933,0.016652,-0.008143,-0.002254,0.006519,-0.003547,7.54e-4,0.006003,0.00287,0.004946,0.001602,0.005663,0.003113
Armenia_Achaemenid_Hellenistic:I16119,0.097888,0.122879,-0.05242,-0.046189,-0.039084,-0.013108,0.00893,-0.008307,-0.032723999999999996,-0.015672,1.6199999999999998e-4,0.007194,-0.0062439999999999996,0.006055,0.0033929999999999993,-0.004508,-0.007170999999999999,-0.002914,0,-0.010005,0.001248,0.005070000000000002,-1.2299999999999998e-4,-0.0039759999999999995,-0.008981
Armenia_Beniamin_Achaemenid.SG:R11540,0.102441,0.141159,-0.048270999999999994,-0.057817,-0.029236,-0.013387,-7.05e-4,0.003,-0.040087,-0.003827,0.005684,0.004646,-0.002081,0.011423,-0.010858,-0.018032,-0.007692999999999999,-0.004434,-3.77e-4,-0.003502,-7.49e-4,-0.001113,-0.001232,-0.003253,-0.003832
Armenia_Beniamin_Hellenistic.SG:R11546,0.103579,0.136081,-0.059208,-0.051680000000000004,-0.032006,-0.009482,0.006110000000000002,-0.004384,-0.026588,-0.013303,0,4.5e-4,0.004906,0.002064,-0.013843,0.013392,0.015255,-0.004941,-8.8e-4,0.001,-0.003119,-7.419999999999999e-4,-2.4599999999999996e-4,-0.006507,-0.007783999999999999
Armenia_Beniamin_IA.SG:R11536,0.10927,0.119832,-0.04186,-0.017765,-0.026159,8.37e-4,0.005405,-0.0062309999999999996,-0.049904,-0.021686,0.007632,-0.001049,-0.007284,-0.007431999999999999,0.002714,0.005967,0.016168,-0.004307,0.001885,0.006627999999999999,-0.006489,-0.0028439999999999997,0.007272,0.001205,0.005149
Armenia_Beniamin_LBA.SG:R11545,0.111547,0.13100299999999998,-0.032055,-0.012920000000000001,-0.039084,-0.0033469999999999997,0.005405,-0.004846,-0.046836,-0.021322,0.005359,0.001499,-0.003865,-0.005366999999999999,0.005836,-2.65e-4,-0.009257,-0.003041,-1.26e-4,-0.005627999999999999,3.74e-4,0.005317,0.0053,0.006507,2.3899999999999998e-4
Armenia_Beniamin_LBS.SG:R11675,0.10927,0.121864,-0.038843,-0.013243,-0.034776,0.003904,0.00846,-0.011076,-0.052766999999999994,-0.028429,-0.004709,0.004646,-0.0068379999999999995,6.879999999999999e-4,0.012079,0.005569,0.001695,0.004181,-0.011439,0.004252,0.003868,0.005193,0.0038209999999999997,0,0.007664
Armenia_Beniamin_Sasanian.SG:R11538,0.102441,0.137096,-0.058077,-0.055879,-0.028005,-0.016732999999999998,0.002585,-0.012923,-0.035383,-0.008383,0.001299,0.010341,-0.018285,-0.006055,0.004072,-0.0035800000000000003,0.007823,-0.003927,-0.0027649999999999997,0.0076289999999999995,0.01148,0.0028439999999999997,0.0014789999999999998,-0.002289,0.003113
Armenia_Beniamin_Sasanian.SG:R11542,0.101303,0.129988,-0.058454,-0.044574,-0.036007,-0.021753,0.003994999999999999,-0.005537999999999999,-0.043768,-0.012392,4.8699999999999997e-4,0.008542,-0.009366,-0.001514,0.0044789999999999995,-0.001591,0.007823,0.003547,-0.004777,-3.75e-4,-0.002121,4.95e-4,0.012325,0.00241,0.0075439999999999995
Armenia_Beniamin_Sasanian.SG:R11543,0.108132,0.146236,-0.060716,-0.055555999999999994,-0.028313,-0.014781,-4.7e-4,-0.002538,-0.037019,0.003827,0.008931,0.003747,-0.010555,8.259999999999999e-4,-0.008822,0.004906,0.032466,-0.004941,-0.00176,0.008879,2.5e-4,0.013107,9.86e-4,6.02e-4,0.001317
Armenia_Beniamin_Sasanian.SG:R11544,0.102441,0.139128,-0.044877,-0.051680000000000004,-0.030467,-0.017012,0.01081,-0.0023079999999999997,-0.047653999999999995,-0.017311999999999998,-0.0017859999999999998,0.003297,5.949999999999999e-4,0.009634,-0.018051,-0.007292,0.0044329999999999994,0,0.0032679999999999996,7.5e-4,0.012353,0.004575,-0.003204,-0.00241,-0.00479
Armenia_Beniamin_Urartu_IA.SG:R11535,0.103579,0.133034,-0.048649,-0.021963999999999997,-0.029236,0.0013939999999999998,0.0032900000000000004,-6.92e-4,-0.04295,-0.019317,0.003085,0.002548,-0.0066900000000000015,-0.005643,0.005565,-0.001326,0.005737,-0.004307,-0.004274,0.002126,0.0034939999999999997,0.005193,-0.003328,0.0048200000000000005,0
Armenia_EIA:I16116,0.108132,0.123895,-0.044877,-0.018734,-0.039084,-0.003068,0.006580000000000002,-0.005307,-0.047653999999999995,-0.022414999999999997,1.6199999999999998e-4,0.006894,-0.018583,-0.0012389999999999999,0.008007,-0.009016,0.0036509999999999997,-0.00266,-0.0020109999999999998,-0.001126,0.010856,-0.003462,-0.004437,0.010483,-0.008263
Armenia_EIA:I16117,0.09675,0.136081,-0.052043,-0.02261,-0.045238999999999994,-0.002789,0.005875,-0.010384000000000001,-0.052766999999999994,-0.016947999999999998,0.001299,0.005844999999999999,-0.022299,-0.013074,-0.001086,0.005304,0.017602,0.002787,-0.0027649999999999997,0.009004,0.005614999999999999,8.659999999999999e-4,0.009983,9.64e-4,-0.007305
Armenia_EIA:I16191,0.106994,0.126941,-0.045632,-0.02261,-0.033236999999999996,-0.003068,0.003525,-0.002077,-0.044791,-0.018224,0.004709,3.0000000000000003e-4,-0.012190000000000001,1.38e-4,0.007057,-0.009149,-0.003912,0.002787,0.005782,-0.0020009999999999997,0.004742,0.007914,0.003574,0.001928,-0.008143
Armenia_EIA:I16193,0.105855,0.128972,-0.040729,-0.009367,-0.0437,0.012829,0.010105,-0.009461,-0.056449,-0.02934,-4.8699999999999997e-4,0.005844999999999999,-0.021407,-0.003303,0.012893,-0.004641,0.010691,-0.008235,-0.009804,0.002376,0.002371,0.002473,0.006409,-0.0026509999999999997,0.001916
Armenia_EIA:I17180,0.108132,0.128972,-0.04714,-0.020672,-0.032929,-0.0064139999999999996,0.007755,0.001385,-0.052357999999999995,-0.020228,0.007632,0.009591,-0.009663,-0.003028,0.007464999999999999,-0.013259,0.008345,-0.007095,-0.00352,0.006003,0.006364,0.004575,0.005423,-0.004699,0.002874
